"IDSample","AccX","AccY","AccZ"
227,0.006,0.062,0.932
228,0.024,0.055,0.907
229,0.044,0.051,0.887
230,0.061,0.051,0.88
231,0.071,0.053,0.889
232,0.071,0.056,0.914
233,0.058,0.057,0.949
234,0.035,0.057,0.987
235,0.008,0.06,1.016
236,-0.013,0.066,1.031
237,-0.019,0.072,1.026
238,-0.006,0.078,1.002
239,0.023,0.081,0.966
240,0.058,0.079,0.923
241,0.088,0.072,0.882
242,0.104,0.06,0.849
243,0.105,0.048,0.826
244,0.095,0.036,0.811
245,0.081,0.027,0.804
246,0.071,0.023,0.804
247,0.066,0.022,0.812
248,0.063,0.021,0.83
249,0.059,0.017,0.858
250,0.05,0.01,0.893
251,0.04,0.001,0.929
252,0.034,-0.005,0.962
253,0.036,-0.006,0.987
254,0.047,-0.004,1.004
255,0.062,-0.001,1.014
256,0.075,0.002,1.021
257,0.08,0.004,1.025
258,0.073,0.004,1.028
259,0.057,0.006,1.03
260,0.039,0.011,1.032
261,0.027,0.021,1.036
262,0.025,0.036,1.042
263,0.031,0.052,1.053
264,0.042,0.064,1.07
265,0.05,0.067,1.091
266,0.053,0.06,1.112
267,0.052,0.045,1.13
268,0.048,0.027,1.141
269,0.047,0.011,1.145
270,0.049,0,1.141
271,0.056,-0.004,1.132
272,0.067,-0.002,1.119
273,0.081,0.003,1.103
274,0.097,0.009,1.086
275,0.111,0.016,1.067
276,0.122,0.024,1.05
277,0.127,0.032,1.035
278,0.123,0.038,1.025
279,0.111,0.042,1.017
280,0.091,0.045,1.01
281,0.068,0.046,0.998
282,0.049,0.046,0.978
283,0.038,0.044,0.95
284,0.039,0.04,0.916
285,0.048,0.036,0.885
286,0.06,0.034,0.863
287,0.066,0.035,0.855
288,0.064,0.042,0.863
289,0.054,0.051,0.885
290,0.04,0.063,0.917
291,0.03,0.071,0.95
292,0.026,0.075,0.98
293,0.028,0.072,1.001
294,0.035,0.063,1.01
295,0.044,0.053,1.005
296,0.053,0.046,0.989
297,0.06,0.043,0.965
298,0.063,0.044,0.941
299,0.059,0.046,0.92
300,0.049,0.045,0.907
301,0.035,0.038,0.904
302,0.023,0.027,0.909
303,0.018,0.015,0.919
304,0.022,0.006,0.928
305,0.033,0.005,0.934
306,0.046,0.012,0.934
307,0.058,0.026,0.926
308,0.064,0.041,0.91
309,0.067,0.054,0.887
310,0.068,0.062,0.859
311,0.072,0.064,0.829
312,0.079,0.062,0.801
313,0.086,0.059,0.782
314,0.092,0.059,0.776
315,0.093,0.062,0.786
316,0.09,0.067,0.81
317,0.084,0.071,0.843
318,0.081,0.072,0.88
319,0.084,0.069,0.914
320,0.091,0.063,0.938
321,0.101,0.057,0.949
322,0.11,0.055,0.946
323,0.113,0.059,0.931
324,0.108,0.068,0.911
325,0.093,0.08,0.89
326,0.07,0.091,0.878
327,0.043,0.095,0.88
328,0.017,0.093,0.896
329,-0.001,0.085,0.924
330,-0.004,0.076,0.959
331,0.01,0.07,0.996
332,0.041,0.067,1.028
333,0.081,0.065,1.053
334,0.12,0.059,1.068
335,0.15,0.05,1.075
336,0.167,0.038,1.075
337,0.17,0.027,1.071
338,0.165,0.021,1.067
339,0.158,0.023,1.064
340,0.151,0.03,1.061
341,0.143,0.039,1.058
342,0.132,0.045,1.056
343,0.116,0.044,1.054
344,0.096,0.037,1.051
345,0.074,0.025,1.044
346,0.055,0.012,1.034
347,0.041,0.001,1.019
348,0.032,-0.007,1.004
349,0.03,-0.013,0.99
350,0.034,-0.015,0.978
351,0.044,-0.012,0.97
352,0.06,-0.001,0.969
353,0.076,0.015,0.978
354,0.088,0.033,0.998
355,0.091,0.045,1.027
356,0.085,0.048,1.06
357,0.072,0.043,1.091
358,0.061,0.032,1.113
359,0.058,0.022,1.121
360,0.068,0.013,1.117
361,0.088,0.005,1.103
362,0.109,-0.004,1.085
363,0.124,-0.011,1.067
364,0.126,-0.015,1.053
365,0.117,-0.014,1.047
366,0.1,-0.009,1.051
367,0.083,-0.004,1.061
368,0.072,0,1.075
369,0.068,0.003,1.088
370,0.069,0.005,1.095
371,0.072,0.006,1.093
372,0.076,0.008,1.077
373,0.081,0.01,1.043
374,0.087,0.011,0.994
375,0.092,0.013,0.934
376,0.093,0.017,0.872
377,0.089,0.022,0.818
378,0.079,0.026,0.781
379,0.066,0.03,0.762
380,0.053,0.033,0.762
381,0.042,0.038,0.779
382,0.034,0.048,0.811
383,0.028,0.059,0.855
384,0.022,0.066,0.907
385,0.014,0.065,0.959
386,0.005,0.054,1.001
387,-0.001,0.035,1.027
388,0.003,0.013,1.032
389,0.022,-0.005,1.016
390,0.053,-0.013,0.986
391,0.093,-0.012,0.951
392,0.13,-0.002,0.919
393,0.156,0.016,0.9
394,0.166,0.038,0.897
395,0.157,0.06,0.913
396,0.136,0.079,0.944
397,0.108,0.09,0.985
398,0.081,0.093,1.031
399,0.06,0.088,1.076
400,0.047,0.075,1.115
401,0.043,0.06,1.145
402,0.049,0.046,1.163
403,0.067,0.039,1.167
404,0.096,0.04,1.157
405,0.138,0.044,1.135
406,0.186,0.047,1.106
407,0.232,0.046,1.075
408,0.268,0.042,1.045
409,0.286,0.039,1.017
410,0.283,0.04,0.995
411,0.258,0.047,0.977
412,0.218,0.058,0.966
413,0.169,0.07,0.962
414,0.121,0.081,0.963
415,0.079,0.093,0.969
416,0.049,0.103,0.977
417,0.03,0.109,0.987
418,0.021,0.108,1.002
419,0.022,0.098,1.022
420,0.029,0.081,1.046
421,0.043,0.06,1.073
422,0.061,0.041,1.099
423,0.081,0.029,1.121
424,0.101,0.028,1.134
425,0.117,0.037,1.14
426,0.126,0.052,1.139
427,0.126,0.07,1.132
428,0.122,0.087,1.121
429,0.116,0.101,1.106
430,0.113,0.111,1.09
431,0.114,0.114,1.076
432,0.118,0.112,1.065
433,0.121,0.106,1.059
434,0.122,0.097,1.054
435,0.119,0.088,1.047
436,0.113,0.079,1.036
437,0.108,0.072,1.021
438,0.102,0.064,1.002
439,0.095,0.055,0.983
440,0.086,0.045,0.966
441,0.076,0.036,0.954
442,0.067,0.031,0.946
443,0.061,0.033,0.943
444,0.058,0.041,0.943
445,0.057,0.054,0.945
446,0.056,0.064,0.948
447,0.054,0.065,0.951
448,0.049,0.055,0.953
449,0.042,0.035,0.956
450,0.037,0.011,0.96
451,0.036,-0.008,0.963
