"IDSample","AccX","AccY","AccZ"
2899,0.294,-0.061,0.999
2900,0.235,-0.039,1.023
2901,0.176,-0.005,1.049
2902,0.126,0.03,1.068
2903,0.095,0.056,1.071
2904,0.087,0.067,1.057
2905,0.097,0.063,1.027
2906,0.116,0.049,0.993
2907,0.13,0.031,0.963
2908,0.129,0.012,0.944
2909,0.111,-0.006,0.941
2910,0.079,-0.022,0.954
2911,0.043,-0.037,0.982
2912,0.012,-0.052,1.027
2913,-0.005,-0.067,1.087
2914,-0.003,-0.082,1.156
2915,0.017,-0.099,1.227
2916,0.054,-0.112,1.291
2917,0.102,-0.115,1.337
2918,0.152,-0.101,1.358
2919,0.195,-0.066,1.352
2920,0.219,-0.015,1.323
2921,0.212,0.042,1.278
2922,0.167,0.094,1.227
2923,0.083,0.129,1.177
2924,-0.028,0.143,1.134
2925,-0.147,0.132,1.098
2926,-0.248,0.1,1.067
2927,-0.306,0.05,1.039
2928,-0.304,-0.008,1.01
2929,-0.238,-0.065,0.977
2930,-0.119,-0.114,0.938
2931,0.029,-0.149,0.899
2932,0.178,-0.168,0.864
2933,0.302,-0.17,0.843
2934,0.381,-0.156,0.842
2935,0.407,-0.129,0.865
2936,0.383,-0.095,0.909
2937,0.317,-0.059,0.967
2938,0.227,-0.024,1.025
2939,0.13,0.006,1.07
2940,0.043,0.029,1.088
2941,-0.023,0.044,1.072
2942,-0.061,0.052,1.022
2943,-0.071,0.054,0.944
2944,-0.056,0.05,0.848
2945,-0.024,0.039,0.747
2946,0.015,0.023,0.651
2947,0.051,0.003,0.575
2948,0.075,-0.017,0.531
2949,0.084,-0.033,0.528
2950,0.081,-0.042,0.569
2951,0.069,-0.041,0.651
2952,0.049,-0.03,0.762
2953,0.025,-0.011,0.888
2954,-0.003,0.013,1.011
2955,-0.035,0.037,1.116
2956,-0.068,0.056,1.19
2957,-0.095,0.068,1.224
2958,-0.109,0.067,1.211
2959,-0.102,0.055,1.152
2960,-0.07,0.033,1.054
2961,-0.017,0.008,0.929
2962,0.048,-0.017,0.794
2963,0.116,-0.037,0.665
2964,0.177,-0.051,0.557
2965,0.225,-0.058,0.484
2966,0.257,-0.059,0.452
2967,0.274,-0.052,0.466
2968,0.273,-0.036,0.521
2969,0.256,-0.013,0.611
2970,0.223,0.016,0.723
2971,0.178,0.047,0.844
2972,0.127,0.073,0.959
2973,0.077,0.091,1.057
2974,0.033,0.099,1.128
2975,-0.002,0.099,1.164
2976,-0.025,0.096,1.162
2977,-0.032,0.097,1.124
2978,-0.027,0.104,1.057
2979,-0.016,0.115,0.973
2980,-0.007,0.125,0.888
2981,-0.007,0.129,0.816
2982,-0.02,0.125,0.77
2983,-0.046,0.114,0.758
2984,-0.082,0.104,0.783
2985,-0.124,0.099,0.843
2986,-0.164,0.105,0.933
2987,-0.194,0.119,1.042
2988,-0.21,0.137,1.155
2989,-0.21,0.148,1.255
2990,-0.193,0.147,1.323
2991,-0.158,0.132,1.344
2992,-0.104,0.108,1.312
2993,-0.035,0.084,1.23
2994,0.042,0.066,1.113
2995,0.116,0.056,0.982
2996,0.177,0.05,0.86
2997,0.215,0.043,0.767
2998,0.229,0.032,0.716
2999,0.222,0.018,0.711
3000,0.202,0.004,0.749
3001,0.179,-0.008,0.818
3002,0.159,-0.013,0.908
3003,0.146,-0.01,1.005
3004,0.138,0,1.098
3005,0.134,0.017,1.175
3006,0.13,0.034,1.227
3007,0.127,0.046,1.245
3008,0.124,0.047,1.221
3009,0.125,0.037,1.155
3010,0.131,0.023,1.058
3011,0.134,0.012,0.946
3012,0.126,0.008,0.841
3013,0.096,0.012,0.76
3014,0.041,0.023,0.716
3015,-0.03,0.037,0.715
3016,-0.098,0.051,0.753
3017,-0.145,0.063,0.823
3018,-0.159,0.07,0.915
3019,-0.142,0.07,1.014
3020,-0.101,0.063,1.108
3021,-0.05,0.052,1.182
3022,0.001,0.043,1.228
3023,0.043,0.037,1.237
3024,0.073,0.038,1.211
3025,0.091,0.042,1.153
3026,0.098,0.045,1.071
3027,0.095,0.045,0.976
3028,0.086,0.042,0.879
3029,0.071,0.039,0.791
3030,0.058,0.038,0.722
3031,0.05,0.038,0.679
3032,0.049,0.04,0.663
3033,0.052,0.041,0.674
3034,0.055,0.04,0.708
3035,0.054,0.035,0.761
3036,0.049,0.028,0.822
3037,0.039,0.022,0.885
3038,0.025,0.021,0.938
3039,0.013,0.027,0.971
3040,0.004,0.039,0.977
3041,0.002,0.058,0.952
3042,0.003,0.079,0.9
3043,0.004,0.098,0.831
3044,-0.001,0.108,0.757
3045,-0.015,0.108,0.69
3046,-0.042,0.096,0.643
3047,-0.076,0.079,0.625
3048,-0.111,0.065,0.643
3049,-0.139,0.063,0.7
3050,-0.152,0.074,0.792
3051,-0.147,0.095,0.911
3052,-0.126,0.116,1.044
3053,-0.093,0.125,1.171
3054,-0.054,0.116,1.276
3055,-0.014,0.09,1.343
3056,0.022,0.055,1.361
3057,0.05,0.026,1.329
3058,0.068,0.013,1.251
3059,0.077,0.022,1.141
3060,0.077,0.048,1.017
3061,0.069,0.081,0.894
3062,0.054,0.113,0.784
3063,0.034,0.136,0.696
3064,0.014,0.146,0.636
3065,-0.002,0.144,0.612
3066,-0.014,0.132,0.627
3067,-0.019,0.115,0.68
3068,-0.017,0.096,0.763
3069,-0.008,0.081,0.865
3070,0.009,0.073,0.971
3071,0.033,0.07,1.068
3072,0.064,0.068,1.143
3073,0.099,0.064,1.187
3074,0.133,0.058,1.197
3075,0.16,0.054,1.175
3076,0.173,0.053,1.127
3077,0.17,0.057,1.063
3078,0.149,0.064,0.995
3079,0.115,0.072,0.931
3080,0.076,0.081,0.879
3081,0.039,0.091,0.845
3082,0.007,0.103,0.835
3083,-0.019,0.114,0.851
3084,-0.04,0.117,0.893
3085,-0.056,0.108,0.952
3086,-0.063,0.086,1.016
3087,-0.056,0.058,1.074
3088,-0.033,0.031,1.117
3089,0.003,0.013,1.141
3090,0.043,0.009,1.145
3091,0.08,0.016,1.131
3092,0.104,0.028,1.103
3093,0.115,0.041,1.065
3094,0.113,0.051,1.024
3095,0.102,0.055,0.988
3096,0.085,0.053,0.963
3097,0.065,0.044,0.951
3098,0.046,0.031,0.955
3099,0.032,0.015,0.97
3100,0.025,0,0.993
3101,0.027,-0.013,1.018
3102,0.037,-0.021,1.043
3103,0.053,-0.024,1.062
3104,0.07,-0.026,1.075
3105,0.084,-0.03,1.08
3106,0.091,-0.034,1.075
3107,0.088,-0.035,1.065
3108,0.076,-0.032,1.05
3109,0.057,-0.023,1.032
3110,0.035,-0.01,1.014
3111,0.014,0.003,0.995
3112,-0.004,0.014,0.977
3113,-0.017,0.019,0.96
3114,-0.025,0.018,0.945
3115,-0.029,0.013,0.93
3116,-0.032,0.004,0.915
3117,-0.032,-0.005,0.897
3118,-0.03,-0.011,0.873
3119,-0.025,-0.01,0.843
3120,-0.016,0.004,0.809
3121,-0.009,0.033,0.774
3122,-0.008,0.068,0.74
3123,-0.023,0.1,0.713
3124,-0.058,0.115,0.696
3125,-0.113,0.107,0.689
3126,-0.178,0.08,0.692
3127,-0.237,0.044,0.698
3128,-0.27,0.01,0.698
3129,-0.263,-0.011,0.685
3130,-0.213,-0.017,0.654
3131,-0.132,-0.006,0.614
3132,-0.042,0.015,0.574
3133,0.029,0.039,0.546
3134,0.062,0.058,0.539
3135,0.055,0.064,0.555
3136,0.016,0.054,0.589
3137,-0.035,0.033,0.631
3138,-0.074,0.005,0.67
3139,-0.084,-0.018,0.701
3140,-0.059,-0.031,0.725
3141,-0.005,-0.031,0.747
3142,0.06,-0.027,0.779
3143,0.116,-0.031,0.829
3144,0.151,-0.051,0.9
3145,0.163,-0.088,0.99
3146,0.161,-0.127,1.091
3147,0.163,-0.147,1.189
3148,0.186,-0.136,1.271
3149,0.239,-0.095,1.328
3150,0.314,-0.041,1.356
3151,0.388,0.007,1.362
3152,0.426,0.033,1.357
3153,0.402,0.031,1.348
3154,0.307,0.004,1.337
3155,0.163,-0.038,1.317
3156,0.015,-0.08,1.278
3157,-0.082,-0.105,1.215
3158,-0.092,-0.103,1.136
3159,-0.01,-0.071,1.064
3160,0.134,-0.02,1.025
3161,0.289,0.036,1.041
3162,0.403,0.082,1.114
3163,0.446,0.108,1.226
3164,0.418,0.114,1.344
3165,0.342,0.103,1.435
3166,0.252,0.081,1.476
3167,0.178,0.048,1.456
3168,0.133,0.007,1.382
3169,0.116,-0.035,1.27
3170,0.115,-0.065,1.147
3171,0.117,-0.07,1.039
3172,0.113,-0.049,0.968
3173,0.104,-0.014,0.947
3174,0.093,0.01,0.982
3175,0.082,0.004,1.063
3176,0.073,-0.035,1.176
3177,0.067,-0.092,1.301
3178,0.064,-0.139,1.413
3179,0.067,-0.152,1.485
3180,0.079,-0.12,1.497
3181,0.102,-0.052,1.436
3182,0.13,0.033,1.305
3183,0.149,0.111,1.127
3184,0.138,0.169,0.937
3185,0.081,0.195,0.775
3186,-0.027,0.191,0.672
3187,-0.17,0.162,0.64
3188,-0.308,0.115,0.669
3189,-0.396,0.066,0.735
3190,-0.393,0.027,0.808
3191,-0.289,0.008,0.862
3192,-0.106,0.008,0.884
3193,0.106,0.02,0.872
3194,0.288,0.029,0.831
3195,0.396,0.027,0.771
3196,0.412,0.016,0.699
3197,0.348,0.008,0.623
3198,0.238,0.02,0.55
3199,0.119,0.059,0.489
3200,0.018,0.117,0.447
3201,-0.047,0.178,0.431
3202,-0.074,0.222,0.447
3203,-0.069,0.238,0.497
3204,-0.04,0.229,0.581
3205,0.002,0.204,0.695
3206,0.052,0.174,0.83
3207,0.104,0.144,0.974
3208,0.157,0.115,1.112
3209,0.21,0.083,1.225
3210,0.262,0.049,1.297
3211,0.313,0.015,1.32
3212,0.362,-0.015,1.295
3213,0.406,-0.038,1.234
3214,0.437,-0.053,1.152
3215,0.446,-0.058,1.069
3216,0.426,-0.051,1.001
3217,0.379,-0.029,0.958
3218,0.312,0.009,0.943
3219,0.242,0.059,0.957
3220,0.184,0.111,1.003
3221,0.148,0.154,1.074
3222,0.137,0.176,1.165
3223,0.146,0.175,1.261
3224,0.166,0.158,1.351
3225,0.19,0.136,1.421
3226,0.215,0.119,1.461
3227,0.239,0.109,1.462
3228,0.259,0.103,1.424
3229,0.272,0.097,1.354
3230,0.273,0.09,1.27
3231,0.256,0.088,1.19
3232,0.221,0.095,1.13
3233,0.17,0.11,1.098
3234,0.109,0.129,1.094
3235,0.048,0.148,1.115
3236,-0.003,0.163,1.155
3237,-0.033,0.171,1.209
3238,-0.04,0.175,1.269
3239,-0.025,0.173,1.325
3240,0.001,0.165,1.368
3241,0.029,0.149,1.39
3242,0.052,0.126,1.384
3243,0.067,0.101,1.351
3244,0.076,0.081,1.298
3245,0.08,0.072,1.236
3246,0.077,0.078,1.179
3247,0.066,0.097,1.136
3248,0.047,0.116,1.107
3249,0.023,0.124,1.086
3250,-0.001,0.116,1.063
3251,-0.017,0.095,1.029
3252,-0.018,0.073,0.982
3253,-0.005,0.06,0.925
3254,0.019,0.059,0.868
3255,0.045,0.066,0.82
3256,0.064,0.073,0.787
3257,0.073,0.074,0.77
3258,0.072,0.07,0.763
3259,0.069,0.064,0.762
3260,0.071,0.06,0.763
3261,0.081,0.061,0.763
3262,0.096,0.067,0.766
3263,0.108,0.078,0.773
3264,0.11,0.093,0.787
3265,0.098,0.108,0.807
3266,0.076,0.121,0.827
3267,0.052,0.129,0.842
3268,0.037,0.128,0.851
3269,0.037,0.116,0.855
3270,0.054,0.092,0.859
3271,0.08,0.058,0.87
3272,0.107,0.018,0.895
3273,0.127,-0.022,0.936
3274,0.138,-0.052,0.993
3275,0.146,-0.066,1.06
3276,0.158,-0.057,1.132
3277,0.181,-0.029,1.205
3278,0.213,0.01,1.274
3279,0.248,0.047,1.336
3280,0.274,0.074,1.387
3281,0.279,0.085,1.423
3282,0.258,0.083,1.438
3283,0.213,0.073,1.425
3284,0.155,0.059,1.383
3285,0.095,0.045,1.313
3286,0.045,0.032,1.223
3287,0.006,0.019,1.125
3288,-0.022,0.007,1.035
3289,-0.046,-0.002,0.963
3290,-0.07,-0.007,0.917
3291,-0.091,-0.006,0.902
3292,-0.105,0.001,0.92
3293,-0.107,0.012,0.969
3294,-0.095,0.023,1.047
3295,-0.071,0.034,1.145
3296,-0.043,0.043,1.252
3297,-0.015,0.053,1.356
3298,0.01,0.064,1.445
3299,0.035,0.077,1.507
3300,0.062,0.092,1.531
3301,0.088,0.105,1.513
3302,0.109,0.115,1.456
3303,0.117,0.117,1.37
3304,0.108,0.108,1.271
3305,0.082,0.087,1.175
3306,0.044,0.062,1.094
3307,0.009,0.039,1.035
3308,-0.012,0.028,1
3309,-0.012,0.028,0.987
3310,0.006,0.038,0.993
3311,0.029,0.05,1.014
3312,0.044,0.057,1.045
3313,0.042,0.058,1.077
3314,0.024,0.056,1.101
3315,-0.001,0.057,1.108
3316,-0.018,0.065,1.092
3317,-0.015,0.082,1.054
3318,0.012,0.104,0.996
3319,0.057,0.125,0.927
3320,0.107,0.139,0.858
3321,0.149,0.141,0.802
3322,0.174,0.128,0.765
3323,0.182,0.104,0.748
3324,0.176,0.072,0.747
3325,0.169,0.04,0.755
3326,0.172,0.01,0.768
3327,0.192,-0.014,0.78
3328,0.232,-0.034,0.79
3329,0.284,-0.048,0.803
3330,0.335,-0.057,0.821
3331,0.374,-0.058,0.849
3332,0.387,-0.049,0.89
3333,0.368,-0.029,0.945
3334,0.317,-0.001,1.011
3335,0.239,0.03,1.083
3336,0.149,0.056,1.149
3337,0.062,0.069,1.194
3338,-0.01,0.067,1.209
3339,-0.058,0.057,1.184
3340,-0.083,0.046,1.121
3341,-0.092,0.04,1.026
3342,-0.098,0.045,0.914
3343,-0.115,0.057,0.804
3344,-0.151,0.071,0.716
3345,-0.208,0.082,0.666
3346,-0.278,0.087,0.661
3347,-0.343,0.088,0.7
3348,-0.38,0.088,0.774
3349,-0.37,0.092,0.865
3350,-0.302,0.104,0.951
3351,-0.185,0.123,1.013
3352,-0.041,0.139,1.041
3353,0.099,0.143,1.029
3354,0.207,0.127,0.978
3355,0.263,0.09,0.894
3356,0.262,0.04,0.792
3357,0.217,-0.011,0.694
3358,0.151,-0.052,0.622
3359,0.085,-0.074,0.594
3360,0.036,-0.073,0.622
3361,0.013,-0.049,0.709
3362,0.013,-0.007,0.845
3363,0.026,0.041,1.013
3364,0.041,0.085,1.19
3365,0.05,0.119,1.349
3366,0.048,0.14,1.465
3367,0.038,0.156,1.515
3368,0.022,0.172,1.486
3369,0.005,0.195,1.379
3370,-0.012,0.222,1.205
3371,-0.035,0.244,0.99
3372,-0.071,0.253,0.761
3373,-0.129,0.244,0.552
3374,-0.214,0.22,0.389
3375,-0.321,0.192,0.295
3376,-0.434,0.173,0.285
3377,-0.526,0.172,0.366
3378,-0.567,0.182,0.526
3379,-0.533,0.189,0.741
3380,-0.418,0.183,0.978
3381,-0.231,0.157,1.203
3382,-0.004,0.114,1.383
3383,0.225,0.064,1.496
3384,0.415,0.02,1.53
3385,0.539,-0.009,1.485
3386,0.584,-0.02,1.376
3387,0.559,-0.016,1.221
3388,0.487,-0.002,1.045
3389,0.395,0.019,0.875
3390,0.302,0.042,0.732
3391,0.219,0.068,0.636
3392,0.149,0.092,0.595
3393,0.091,0.113,0.609
3394,0.038,0.129,0.672
3395,-0.013,0.139,0.769
3396,-0.058,0.144,0.882
3397,-0.09,0.146,0.987
3398,-0.099,0.145,1.06
3399,-0.081,0.142,1.086
3400,-0.042,0.138,1.063
3401,-0.004,0.133,1.002
3402,0.012,0.129,0.922
3403,-0.011,0.124,0.845
3404,-0.075,0.118,0.789
3405,-0.167,0.109,0.765
3406,-0.26,0.095,0.775
3407,-0.325,0.076,0.816
3408,-0.342,0.056,0.88
3409,-0.308,0.042,0.963
3410,-0.231,0.038,1.058
3411,-0.135,0.044,1.156
3412,-0.044,0.054,1.246
3413,0.022,0.061,1.317
3414,0.051,0.062,1.356
3415,0.045,0.055,1.354
3416,0.012,0.044,1.308
3417,-0.033,0.034,1.226
3418,-0.078,0.028,1.121
3419,-0.114,0.029,1.009
3420,-0.141,0.04,0.904
3421,-0.164,0.06,0.821
3422,-0.19,0.088,0.768
3423,-0.224,0.12,0.749
3424,-0.265,0.149,0.76
3425,-0.301,0.166,0.792
3426,-0.32,0.168,0.835
3427,-0.313,0.154,0.878
3428,-0.279,0.127,0.913
3429,-0.224,0.093,0.935
3430,-0.158,0.059,0.942
3431,-0.091,0.036,0.935
3432,-0.031,0.026,0.918
3433,0.019,0.031,0.902
3434,0.057,0.047,0.896
3435,0.081,0.067,0.91
3436,0.092,0.083,0.949
3437,0.094,0.09,1.008
3438,0.093,0.085,1.075
3439,0.098,0.071,1.137
3440,0.111,0.054,1.184
3441,0.129,0.041,1.211
3442,0.147,0.036,1.22
3443,0.153,0.039,1.215
3444,0.144,0.047,1.2
3445,0.121,0.056,1.178
3446,0.091,0.064,1.149
3447,0.063,0.069,1.116
3448,0.044,0.071,1.081
3449,0.04,0.067,1.045
3450,0.046,0.055,1.008
3451,0.055,0.039,0.973
3452,0.059,0.024,0.943
3453,0.05,0.017,0.919
3454,0.025,0.022,0.901
3455,-0.01,0.039,0.888
3456,-0.045,0.061,0.879
3457,-0.072,0.081,0.872
3458,-0.081,0.095,0.868
3459,-0.07,0.102,0.869
3460,-0.043,0.103,0.88
3461,-0.004,0.102,0.902
3462,0.038,0.099,0.934
3463,0.081,0.092,0.97
3464,0.122,0.082,1.003
3465,0.16,0.069,1.033
3466,0.194,0.055,1.056
3467,0.223,0.042,1.075
3468,0.24,0.031,1.092
3469,0.242,0.024,1.107
3470,0.222,0.019,1.122
3471,0.181,0.014,1.135
3472,0.12,0.008,1.146
3473,0.049,-0.001,1.155
3474,-0.024,-0.013,1.164
3475,-0.09,-0.025,1.174
3476,-0.142,-0.034,1.184
3477,-0.176,-0.037,1.192
3478,-0.19,-0.03,1.194
3479,-0.184,-0.011,1.183
3480,-0.163,0.016,1.153
3481,-0.133,0.047,1.104
3482,-0.1,0.073,1.036
3483,-0.074,0.086,0.958
3484,-0.059,0.084,0.88
3485,-0.061,0.072,0.811
3486,-0.078,0.056,0.761
3487,-0.105,0.044,0.736
3488,-0.13,0.04,0.739
3489,-0.145,0.045,0.77
3490,-0.141,0.055,0.826
3491,-0.117,0.066,0.902
3492,-0.078,0.074,0.99
3493,-0.031,0.075,1.079
3494,0.016,0.07,1.157
3495,0.059,0.06,1.212
3496,0.098,0.049,1.233
3497,0.136,0.042,1.217
3498,0.173,0.042,1.168
3499,0.204,0.05,1.096
3500,0.223,0.067,1.014
3501,0.222,0.089,0.939
3502,0.199,0.111,0.881
3503,0.153,0.124,0.848
3504,0.094,0.123,0.841
3505,0.031,0.104,0.856
3506,-0.025,0.069,0.885
3507,-0.063,0.029,0.92
3508,-0.077,-0.006,0.955
3509,-0.067,-0.025,0.984
3510,-0.038,-0.024,1.007
3511,0.001,-0.002,1.022
3512,0.041,0.033,1.031
3513,0.073,0.069,1.036
3514,0.091,0.096,1.039
3515,0.094,0.104,1.037
3516,0.084,0.095,1.029
3517,0.07,0.076,1.015
3518,0.06,0.059,0.998
3519,0.058,0.055,0.981
3520,0.064,0.064,0.971
3521,0.073,0.084,0.972
3522,0.079,0.103,0.987
3523,0.079,0.116,1.015
3524,0.071,0.117,1.053
3525,0.061,0.106,1.096
3526,0.053,0.087,1.137
3527,0.054,0.064,1.17
3528,0.067,0.042,1.189
3529,0.092,0.026,1.189
3530,0.126,0.022,1.168
3531,0.161,0.029,1.124
3532,0.187,0.045,1.063
3533,0.195,0.063,0.997
3534,0.179,0.075,0.938
3535,0.138,0.08,0.895
3536,0.078,0.08,0.874
3537,0.01,0.08,0.874
3538,-0.052,0.082,0.892
3539,-0.093,0.085,0.919
3540,-0.106,0.086,0.951
3541,-0.09,0.079,0.981
3542,-0.054,0.062,1.005
3543,-0.01,0.039,1.022
3544,0.03,0.02,1.031
3545,0.058,0.009,1.035
3546,0.069,0.01,1.034
3547,0.067,0.02,1.028
3548,0.059,0.036,1.017
3549,0.049,0.052,1.002
3550,0.04,0.067,0.985
3551,0.034,0.081,0.971
3552,0.029,0.092,0.963
3553,0.022,0.102,0.965
3554,0.013,0.11,0.977
3555,0.002,0.119,0.997
3556,-0.009,0.128,1.021
3557,-0.016,0.134,1.045
3558,-0.017,0.136,1.062
3559,-0.008,0.131,1.068
3560,0.011,0.117,1.058
3561,0.04,0.096,1.031
3562,0.073,0.068,0.992
3563,0.104,0.038,0.948
3564,0.125,0.011,0.906
3565,0.133,-0.004,0.874
3566,0.129,-0.005,0.854
3567,0.119,0.013,0.847
3568,0.108,0.045,0.852
3569,0.102,0.086,0.867
3570,0.099,0.125,0.892
3571,0.096,0.154,0.923
3572,0.089,0.166,0.956
3573,0.074,0.158,0.985
3574,0.056,0.133,1.005
3575,0.04,0.097,1.015
3576,0.033,0.06,1.01
3577,0.04,0.031,0.993
3578,0.061,0.02,0.965
3579,0.091,0.029,0.933
3580,0.122,0.053,0.904
3581,0.146,0.082,0.883
3582,0.157,0.107,0.877
3583,0.152,0.122,0.886
3584,0.132,0.128,0.909
3585,0.102,0.126,0.944
3586,0.067,0.121,0.982
3587,0.032,0.113,1.018
3588,0.003,0.105,1.045
3589,-0.018,0.097,1.058
3590,-0.028,0.091,1.053
3591,-0.026,0.09,1.031
3592,-0.013,0.092,0.995
3593,0.007,0.093,0.955
3594,0.03,0.087,0.917
3595,0.051,0.074,0.889
3596,0.067,0.059,0.872
3597,0.078,0.047,0.867
3598,0.086,0.048,0.869
3599,0.092,0.064,0.877
3600,0.1,0.093,0.888
3601,0.105,0.128,0.901
3602,0.102,0.159,0.913
3603,0.083,0.179,0.926
3604,0.048,0.183,0.935
3605,0.004,0.17,0.936
3606,-0.037,0.143,0.929
3607,-0.059,0.105,0.91
3608,-0.056,0.066,0.885
3609,-0.027,0.037,0.857
3610,0.016,0.024,0.836
3611,0.06,0.03,0.828
3612,0.093,0.051,0.835
3613,0.109,0.078,0.854
3614,0.104,0.104,0.88
3615,0.082,0.124,0.909
3616,0.048,0.135,0.935
3617,0.007,0.136,0.955
3618,-0.033,0.13,0.966
3619,-0.063,0.121,0.965
3620,-0.079,0.112,0.952
3621,-0.077,0.107,0.929
3622,-0.059,0.104,0.902
3623,-0.032,0.102,0.878
3624,-0.003,0.096,0.861
3625,0.023,0.088,0.855
3626,0.042,0.079,0.859
3627,0.056,0.072,0.869
3628,0.067,0.067,0.881
3629,0.078,0.067,0.89
3630,0.09,0.072,0.894
3631,0.102,0.084,0.892
3632,0.109,0.106,0.885
3633,0.107,0.134,0.879
3634,0.094,0.164,0.876
3635,0.071,0.189,0.875
3636,0.042,0.199,0.874
3637,0.015,0.192,0.87
3638,-0.005,0.165,0.863
3639,-0.015,0.126,0.856
3640,-0.014,0.08,0.853
3641,-0.004,0.039,0.856
3642,0.012,0.012,0.867
3643,0.032,0.002,0.887
3644,0.052,0.009,0.914
3645,0.071,0.028,0.943
3646,0.089,0.05,0.97
3647,0.103,0.072,0.989
3648,0.112,0.091,0.997
3649,0.113,0.109,0.995
3650,0.103,0.123,0.983
3651,0.081,0.132,0.967
3652,0.051,0.134,0.947
3653,0.016,0.128,0.926
3654,-0.015,0.12,0.904
3655,-0.037,0.112,0.883
3656,-0.045,0.104,0.868
3657,-0.04,0.096,0.862
3658,-0.026,0.086,0.867
3659,-0.008,0.073,0.883
3660,0.009,0.06,0.905
3661,0.022,0.052,0.932
3662,0.029,0.05,0.96
3663,0.032,0.053,0.987
3664,0.03,0.061,1.01
3665,0.026,0.072,1.027
3666,0.02,0.086,1.036
3667,0.017,0.104,1.037
3668,0.017,0.123,1.029
3669,0.023,0.14,1.014
3670,0.03,0.15,0.995
3671,0.037,0.149,0.974
3672,0.041,0.136,0.954
3673,0.043,0.111,0.939
3674,0.045,0.079,0.933
3675,0.048,0.046,0.936
3676,0.056,0.02,0.948
3677,0.067,0.007,0.968
3678,0.079,0.01,0.992
3679,0.088,0.03,1.017
3680,0.09,0.059,1.043
3681,0.082,0.09,1.068
3682,0.062,0.114,1.087
3683,0.032,0.125,1.095
3684,-0.003,0.124,1.09
3685,-0.034,0.115,1.073
3686,-0.055,0.101,1.044
3687,-0.064,0.086,1.011
3688,-0.061,0.074,0.978
3689,-0.05,0.065,0.949
3690,-0.035,0.06,0.927
3691,-0.015,0.055,0.915
3692,0.006,0.049,0.914
3693,0.029,0.039,0.925
3694,0.053,0.026,0.95
3695,0.075,0.018,0.984
3696,0.096,0.023,1.022
3697,0.112,0.046,1.06
3698,0.124,0.086,1.094
3699,0.128,0.13,1.122
3700,0.123,0.164,1.141
3701,0.106,0.179,1.148
3702,0.079,0.171,1.141
3703,0.048,0.146,1.116
3704,0.021,0.112,1.074
3705,0.005,0.076,1.021
3706,0.003,0.043,0.964
3707,0.013,0.018,0.912
3708,0.032,0.002,0.874
3709,0.055,-0.005,0.855
3710,0.075,-0.005,0.86
3711,0.088,0.001,0.892
3712,0.093,0.01,0.948
3713,0.088,0.022,1.021
3714,0.076,0.035,1.1
3715,0.057,0.047,1.172
3716,0.036,0.058,1.223
3717,0.017,0.066,1.246
3718,0.003,0.07,1.237
3719,-0.004,0.074,1.2
3720,-0.003,0.078,1.145
3721,0,0.082,1.085
3722,0,0.081,1.033
3723,-0.006,0.075,1
3724,-0.018,0.061,0.989
3725,-0.03,0.042,0.999
3726,-0.034,0.023,1.022
3727,-0.025,0.006,1.052
3728,-0.001,-0.007,1.08
3729,0.034,-0.014,1.104
3730,0.069,-0.013,1.119
3731,0.094,0,1.125
3732,0.103,0.023,1.122
3733,0.097,0.051,1.11
3734,0.08,0.077,1.09
3735,0.057,0.095,1.067
3736,0.032,0.104,1.047
3737,0.008,0.104,1.034
3738,-0.015,0.097,1.031
3739,-0.035,0.084,1.037
3740,-0.049,0.068,1.048
3741,-0.053,0.05,1.059
3742,-0.045,0.034,1.066
3743,-0.027,0.02,1.068
3744,-0.003,0.01,1.065
3745,0.021,0.002,1.06
3746,0.043,-0.003,1.053
3747,0.06,-0.005,1.042
3748,0.072,-0.002,1.026
3749,0.079,0.008,1.006
3750,0.081,0.025,0.984
3751,0.079,0.047,0.964
3752,0.073,0.071,0.948
3753,0.061,0.093,0.938
3754,0.042,0.112,0.934
3755,0.017,0.128,0.933
3756,-0.009,0.14,0.932
3757,-0.029,0.146,0.926
3758,-0.037,0.142,0.912
3759,-0.031,0.129,0.893
3760,-0.011,0.111,0.871
3761,0.016,0.092,0.855
3762,0.043,0.078,0.849
3763,0.066,0.072,0.856
3764,0.082,0.074,0.874
3765,0.092,0.082,0.898
3766,0.098,0.095,0.923
3767,0.1,0.109,0.947
3768,0.096,0.121,0.968
3769,0.083,0.128,0.985
3770,0.063,0.124,0.994
3771,0.039,0.11,0.993
3772,0.018,0.09,0.979
3773,0.008,0.07,0.954
3774,0.011,0.057,0.921
3775,0.027,0.056,0.889
3776,0.052,0.064,0.867
3777,0.075,0.079,0.86
3778,0.088,0.095,0.87
3779,0.085,0.107,0.895
3780,0.065,0.114,0.929
3781,0.037,0.116,0.962
3782,0.009,0.115,0.988
3783,-0.009,0.114,1.001
3784,-0.013,0.113,1.003
3785,-0.007,0.112,0.996
3786,0.004,0.109,0.984
3787,0.013,0.1,0.971
3788,0.017,0.086,0.958
3789,0.017,0.07,0.947
3790,0.018,0.054,0.938
3791,0.025,0.044,0.933
3792,0.04,0.04,0.935
3793,0.059,0.043,0.943
3794,0.073,0.051,0.957
3795,0.077,0.061,0.972
3796,0.066,0.072,0.987
3797,0.043,0.084,0.999
3798,0.014,0.098,1.007
3799,-0.014,0.115,1.01
3800,-0.038,0.132,1.007
3801,-0.055,0.146,1
